id,hd_image,ld_image,datasheet,footprint,manufacturer_part_number,quantity_available,unit_price,manufacturer,description,packaging,series,part_status,minimum_quantity,original,component_id,part_id,model,created_at,updated_at
, *, *, *,,CF18JT546,0,0,Zenithsun Electronics Tech,RES 546 OHM 1/8W 1% AXIAL,Cut Tape (CT),CF,Active,100,,205,111,,,
, *, *, *,,CF18JT54R9,0,0,Zenithsun Electronics Tech,RES 54.9 OHM 1/8W 1% AXIAL,Cut Tape (CT),CF,Active,100,,205,112,,,
, *, *, *,,CF18JT54R5,0,0,Zenithsun Electronics Tech,RES 54.5 OHM 1/8W 1% AXIAL,Cut Tape (CT),CF,Active,100,,205,113,,,
, *, *, *,,CF18JT53K,0,0,Zenithsun Electronics Tech,RES 53K OHM 1/8W 1% AXIAL,Cut Tape (CT),CF,Active,100,,205,114,,,
, *, *, *,,CF18JT536K,0,0,Zenithsun Electronics Tech,RES 536K OHM 1/8W 1% AXIAL,Cut Tape (CT),CF,Active,100,,205,115,,,
, *, *, *,,CF18JT53R6,0,0,Zenithsun Electronics Tech,RES 53.6 OHM 1/8W 1% AXIAL,Cut Tape (CT),CF,Active,100,,205,116,,,
, *, *, *,,CF18JT53R2,0,0,Zenithsun Electronics Tech,RES 53.2 OHM 1/8W 1% AXIAL,Cut Tape (CT),CF,Active,100,,205,117,,,
, *, *, *,,CF18JT523K,0,0,Zenithsun Electronics Tech,RES 523K OHM 1/8W 1% AXIAL,Cut Tape (CT),CF,Active,100,,205,118,,,
, *, *, *,,CF18JT523,0,0,Zenithsun Electronics Tech,RES 523 OHM 1/8W 1% AXIAL,Cut Tape (CT),CF,Active,100,,205,119,,,
, *, *, *,,CF18JT52K6,0,0,Zenithsun Electronics Tech,RES 52.6K OHM 1/8W 1% AXIAL,Cut Tape (CT),CF,Active,100,,205,120,,,
, *, *, *,,CF18JT52R3,0,0,Zenithsun Electronics Tech,RES 52.3 OHM 1/8W 1% AXIAL,Cut Tape (CT),CF,Active,100,,205,121,,,
, *, *, *,,CF18JT5M9,0,0,Zenithsun Electronics Tech,RES 5.9M OHM 1/8W 1% AXIAL,Cut Tape (CT),CF,Active,100,,205,122,,,
, *, *, *,,CF18JT5R9,0,0,Zenithsun Electronics Tech,RES 5.9 OHM 1/8W 1% AXIAL,Cut Tape (CT),CF,Active,100,,205,123,,,
, *, *, *,,CF18JT5M76,0,0,Zenithsun Electronics Tech,RES 5.76M OHM 1/8W 1% AXIAL,Cut Tape (CT),CF,Active,100,,205,124,,,
, *, *, *,,CF18JT5K76,0,0,Zenithsun Electronics Tech,RES 5.76K OHM 1/8W 1% AXIAL,Cut Tape (CT),CF,Active,100,,205,125,,,
, *, *, *,,CF18JT5R76,0,0,Zenithsun Electronics Tech,RES 5.76 OHM 1/8W 1% AXIAL,Cut Tape (CT),CF,Active,100,,205,126,,,
, *, *, *,,CF18JT5M62,0,0,Zenithsun Electronics Tech,RES 5.62M OHM 1/8W 1% AXIAL,Cut Tape (CT),CF,Active,100,,205,127,,,
, *, *, *,,CF18JT5K62,0,0,Zenithsun Electronics Tech,RES 5.62K OHM 1/8W 1% AXIAL,Cut Tape (CT),CF,Active,100,,205,128,,,
, *, *, *,,CF18JT5K45,0,0,Zenithsun Electronics Tech,RES 5.45K OHM 1/8W 1% AXIAL,Cut Tape (CT),CF,Active,100,,205,129,,,
, *, *, *,,CF18JT5R45,0,0,Zenithsun Electronics Tech,RES 5.45 OHM 1/8W 1% AXIAL,Cut Tape (CT),CF,Active,100,,205,130,,,
, *, *, *,,CF18JT5R36,0,0,Zenithsun Electronics Tech,RES 5.36 OHM 1/8W 1% AXIAL,Cut Tape (CT),CF,Active,100,,205,131,,,
, *, *, *,,CF18JT5M23,0,0,Zenithsun Electronics Tech,RES 5.23M OHM 1/8W 1% AXIAL,Cut Tape (CT),CF,Active,100,,205,132,,,
, *, *, *,,CF18JT5R23,0,0,Zenithsun Electronics Tech,RES 5.23 OHM 1/8W 1% AXIAL,Cut Tape (CT),CF,Active,100,,205,133,,,
, *, *, *,,CF18JT5K21,0,0,Zenithsun Electronics Tech,RES 5.21K OHM 1/8W 1% AXIAL,Cut Tape (CT),CF,Active,100,,205,134,,,
, *, *, *,,CF18JT5R11,0,0,Zenithsun Electronics Tech,RES 5.11 OHM 1/8W 1% AXIAL,Cut Tape (CT),CF,Active,100,,205,135,,,
, *, *, *,,CF18JT494,0,0,Zenithsun Electronics Tech,RES 494 OHM 1/8W 1% AXIAL,Cut Tape (CT),CF,Active,100,,205,136,,,
, *, *, *,,CF18JT487K,0,0,Zenithsun Electronics Tech,RES 487K OHM 1/8W 1% AXIAL,Cut Tape (CT),CF,Active,100,,205,137,,,
, *, *, *,,CF18JT487,0,0,Zenithsun Electronics Tech,RES 487 OHM 1/8W 1% AXIAL,Cut Tape (CT),CF,Active,100,,205,138,,,
, *, *, *,,CF18JT48K7,0,0,Zenithsun Electronics Tech,RES 48.7K OHM 1/8W 1% AXIAL,Cut Tape (CT),CF,Active,100,,205,139,,,
, *, *, *,,CF18JT48R7,0,0,Zenithsun Electronics Tech,RES 48.7 OHM 1/8W 1% AXIAL,Cut Tape (CT),CF,Active,100,,205,140,,,
, *, *, *,,CF18JT47R5,0,0,Zenithsun Electronics Tech,RES 47.5 OHM 1/8W 1% AXIAL,Cut Tape (CT),CF,Active,100,,205,141,,,
, *, *, *,,CF18JT462K,0,0,Zenithsun Electronics Tech,RES 462K OHM 1/8W 1% AXIAL,Cut Tape (CT),CF,Active,100,,205,142,,,
, *, *, *,,CF18JT46K4,0,0,Zenithsun Electronics Tech,RES 46.4K OHM 1/8W 1% AXIAL,Cut Tape (CT),CF,Active,100,,205,143,,,
, *, *, *,,CF18JT453K,0,0,Zenithsun Electronics Tech,RES 453K OHM 1/8W 1% AXIAL,Cut Tape (CT),CF,Active,100,,205,144,,,
, *, *, *,,CF18JT45K3,0,0,Zenithsun Electronics Tech,RES 45.3K OHM 1/8W 1% AXIAL,Cut Tape (CT),CF,Active,100,,205,145,,,
, *, *, *,,CF18JT44K6,0,0,Zenithsun Electronics Tech,RES 44.6K OHM 1/8W 1% AXIAL,Cut Tape (CT),CF,Active,100,,205,146,,,
, *, *, *,,CF18JT44K2,0,0,Zenithsun Electronics Tech,RES 44.2K OHM 1/8W 1% AXIAL,Cut Tape (CT),CF,Active,100,,205,147,,,
, *, *, *,,CF18JT432,0,0,Zenithsun Electronics Tech,RES 432 OHM 1/8W 1% AXIAL,Cut Tape (CT),CF,Active,100,,205,148,,,
, *, *, *,,CF18JT43K4,0,0,Zenithsun Electronics Tech,RES 43.4K OHM 1/8W 1% AXIAL,Cut Tape (CT),CF,Active,100,,205,149,,,
, *, *, *,,CF18JT43R2,0,0,Zenithsun Electronics Tech,RES 43.2 OHM 1/8W 1% AXIAL,Cut Tape (CT),CF,Active,100,,205,150,,,
, *, *, *,,CF18JT424,0,0,Zenithsun Electronics Tech,RES 424 OHM 1/8W 1% AXIAL,Cut Tape (CT),CF,Active,100,,205,151,,,
, *, *, *,,CF18JT42K2,0,0,Zenithsun Electronics Tech,RES 42.2K OHM 1/8W 1% AXIAL,Cut Tape (CT),CF,Active,100,,205,152,,,
, *, *, *,,CF18JT412,0,0,Zenithsun Electronics Tech,RES 412 OHM 1/8W 1% AXIAL,Cut Tape (CT),CF,Active,100,,205,153,,,
, *, *, *,,CF18JT41R2,0,0,Zenithsun Electronics Tech,RES 41.2 OHM 1/8W 1% AXIAL,Cut Tape (CT),CF,Active,100,,205,154,,,
, *, *, *,,CF18JT402K,0,0,Zenithsun Electronics Tech,RES 402K OHM 1/8W 1% AXIAL,Cut Tape (CT),CF,Active,100,,205,155,,,
, *, *, *,,CF18JT4M87,0,0,Zenithsun Electronics Tech,RES 4.87M OHM 1/8W 1% AXIAL,Cut Tape (CT),CF,Active,100,,205,156,,,
