General Purpose,4,CMOS* DTL* ECL* MOS* Open-Collector* TTL,2 V ~ 36 V* ±1 V ~ 18 V,7mV @ 30V,0.25µA @ 5V,16mA @ 5V,2.5mA,-,-,-,-40°C ~ 85°C,"14-SOIC (0.154""* 3.90mm Width)",Surface Mount,14-SOIC
General Purpose,4,CMOS* Open-Collector* TTL,3 V ~ 36 V* ±1.5 V ~ 18 V,7mV @ 5V,0.25µA @ 5V,16mA @ 5V,2.5mA,-,-,-,-40°C ~ 125°C,"14-SOIC (0.154""* 3.90mm Width)",Surface Mount,14-SOIC
Differential,2,-,2 V ~ 36 V* ±1 V ~ 18 V,7mV @ 5V,0.25µA @ 5V,16mA @ 5V,2.5mA,-,-,-,-40°C ~ 105°C,"8-DIP (0.300""* 7.62mm)",Through Hole,8-DIP
Differential,2,CMOS* MOS* Open-Drain* TTL,2 V ~ 36 V* ±1 V ~ 18 V,7mV @ 30V,0.25µA @ 5V,20mA,2.5mA,-,-,-,-40°C ~ 125°C,"8-TSSOP (0.173""* 4.40mm Width)",Surface Mount,8-TSSOP
Differential,2,CMOS* MOS* Open-Drain* TTL,2 V ~ 36 V* ±1 V ~ 18 V,2mV @ 30V,0.25µA @ 5V,20mA,2.5mA,-,-,-,-25°C ~ 85°C,"8-SOIC (0.154""* 3.90mm Width)",Surface Mount,8-SOIC
General Purpose,2,CMOS* DTL* ECL* MOS* Open-Collector* TTL,2 V ~ 36 V* ±1 V ~ 18 V,5mV @ 30V,0.25µA @ 5V,18mA @ 5V,2.5mA,-,-,-,-40°C ~ 105°C,"8-SOIC (0.154""* 3.90mm Width)",Surface Mount,8-SO
General Purpose,2,CMOS* DTL* ECL* MOS* Open-Collector* TTL,2 V ~ 36 V* ±1 V ~ 18 V,5mV @ 30V,0.25µA @ 5V,18mA @ 5V,2.5mA,-,-,-,-40°C ~ 105°C,"8-SOIC (0.154""* 3.90mm Width)",Surface Mount,8-SO
General Purpose,1,DTL* MOS* Open-Collector* Open-Emitter* RTL* TTL,5 V ~ 30 V* ±2.5 V ~ 15 V,7.5mV @ ±15V,0.25µA @ ±15V,50mA,7.5mA,-,-,-,0°C ~ 70°C,"8-SOIC (0.154""* 3.90mm Width)",Surface Mount,8-SO
General Purpose,1,DTL* MOS* Open-Collector* Open-Emitter* RTL* TTL,5 V ~ 36 V* ±2.5 V ~ 18 V,7.5mV @ ±15V,0.25µA @ ±15V,-,7.5mA,CMRR* PSRR (Typ) -,-,-,0°C ~ 70°C,"8-SOIC (0.154""* 3.90mm Width)",Surface Mount,8-SOIC
General Purpose,1,DTL* MOS* Open-Collector* Open-Emitter* RTL* TTL,5 V ~ 36 V* ±2.5 V ~ 18 V,7.5mV @ ±15V,0.25µA @ ±15V,50mA,7.5mA,-,-,-,0°C ~ 70°C,"8-DIP (0.300""* 7.62mm)",Through Hole,8-PDIP
General Purpose,2,Open-Collector* Open-Emitter* TTL,5 V ~ 30 V* ±2.5 V ~ 15 V,8mV @ ±15V,1µA @ ±15V,-,12.5mA,-,-,-,0°C ~ 70°C,"14-SOIC (0.154""* 3.90mm Width)",Surface Mount,14-SO
General Purpose,2,Open-Collector* Open-Emitter* TTL,5 V ~ 30 V* ±2.5 V ~ 15 V,8mV @ ±15V,1µA @ ±15V,-,12.5mA,-,-,-,0°C ~ 70°C,"14-SOIC (0.154""* 3.90mm Width)",Surface Mount,14-SO
Differential,4,CMOS* MOS* Open-Collector* TTL,2 V ~ 30 V* ±1 V ~ 15 V,3mV @ 30V,0.25µA @ 5V,20mA,2.5mA,-,-,-,0°C ~ 70°C,"14-SOIC (0.154""* 3.90mm Width)",Surface Mount,14-SOIC
Differential,4,CMOS* MOS* Open-Collector* TTL,2 V ~ 30 V* ±1 V ~ 15 V,3mV @ 30V,0.25µA @ 5V,20mA,2.5mA,-,-,-,0°C ~ 70°C,"14-SOIC (0.154""* 3.90mm Width)",Surface Mount,14-SOIC
Differential,2,Complementary* TTL,±5 V ~ 15 V,5mV @ 5V,10µA @ 5V,-,5mA* 10mA* 20mA,-,20ns,-,0°C ~ 70°C,"14-SOIC (0.154""* 3.90mm Width)",Surface Mount,14-SOIC
Differential,2,Complementary* TTL,±5 V ~ 15 V,5mV @ 5V,10µA @ 5V,-,5mA* 10mA* 20mA,-,20ns,-,0°C ~ 70°C,"14-DIP (0.300""* 7.62mm)",Through Hole,14-DIP
Differential,2,-,2 V ~ 36 V* ±1 V ~ 18 V,2mV @ 5V,0.25µA @ 5V,18mA @ 5V,2.5mA,-,-,-,0°C ~ 70°C,"8-DIP (0.300""* 7.62mm)",Through Hole,8-DIP
General Purpose,2,CMOS* DTL* ECL* MOS* Open-Collector* TTL,2 V ~ 36 V* ±1 V ~ 18 V,5mV @ 30V,0.25µA @ 5V,18mA @ 5V,2.5mA,-,-,-,0°C ~ 70°C,"8-SOIC (0.154""* 3.90mm Width)",Surface Mount,8-SO
Differential,2,-,2 V ~ 36 V* ±1 V ~ 18 V,5mV @ 5V,0.25µA @ 5V,18mA @ 5V,2.5mA,-,-,-,0°C ~ 70°C,"8-DIP (0.300""* 7.62mm)",Through Hole,8-DIP
General Purpose,1,CMOS* Open-Collector* TTL,5 V ~ 30 V* ±2.5 V ~ 15 V,7mV @ 30V,0.25µA @ 5V,13mA @ 5V,2mA,-,940µs,-,-40°C ~ 85°C,SC-74A* SOT-753,Surface Mount,SOT-23-5
General Purpose,1,Push-Pull,2.7 V ~ 15 V* ±1.35 V ~ 7.5 V,5mV @ 5V,0.04pA @ 5V,30mA,14µA,75dB CMRR* 80dB PSRR,10µs,-,-40°C ~ 85°C,SC-74A* SOT-753,Surface Mount,SOT-23-5
General Purpose,1,Push-Pull,2.7 V ~ 15 V* ±1.35 V ~ 7.5 V,15mV @ 5V,0.04pA @ 5V,30mA,14µA,75dB CMRR* 80dB PSRR,10µs,-,-40°C ~ 85°C,SC-74A* SOT-753,Surface Mount,SOT-23-5
General Purpose,1,Push-Pull,2 V ~ 8 V* ±1 V ~ 4 V,6mV @ 5V,-,30mA,1µA,80dB CMRR* 90dB PSRR,24µs,-,-40°C ~ 85°C,SC-74A* SOT-753,Surface Mount,SOT-23-5
