Step-Down,Positive,Buck,Fixed,1,4.5V,40V,12V,-,500mA,150kHz,No,-40°C ~ 125°C (TJ),Through Hole,"8-DIP (0.300""* 7.62mm)",8-PDIP
Step-Down,Positive,Buck,Adjustable,1,4.5V,40V,1.2V,37V,500mA,150kHz,No,-40°C ~ 125°C (TJ),Through Hole,"8-DIP (0.300""* 7.62mm)",8-PDIP
Step-Down,Positive,Buck,Fixed,1,4.5V,40V,12V,-,1A,150kHz,No,-40°C ~ 125°C (TJ),Surface Mount,TO-263-6* D²Pak (5 Leads + Tab)* TO-263BA,DDPAK/TO-263-5
Step-Down,Positive,Buck,Fixed,1,4.5V,40V,5V,-,1A,150kHz,No,-40°C ~ 125°C (TJ),Surface Mount,TO-263-6* D²Pak (5 Leads + Tab)* TO-263BA,DDPAK/TO-263-5
Step-Up* Step-Down* Step-Up/Step-Down,Positive or Negative,Buck* Boost* Buck-Boost,Adjustable,1,4.5V,40V,1.23V,37V,3A,150kHz,No,-40°C ~ 125°C (TJ),Surface Mount,TO-263-6* D²Pak (5 Leads + Tab)* TO-263BA,D2PAK-5
Step-Down,Positive,Buck,Fixed,1,4.5V,40V,3.3V,-,3A,150kHz,No,-40°C ~ 125°C (TJ),Surface Mount,TO-263-6* D²Pak (5 Leads + Tab)* TO-263BA,DDPAK/TO-263-5
Step-Down,Positive,Buck,Fixed,1,4.5V,40V,5V,-,3A,150kHz,No,-40°C ~ 125°C (TJ),Surface Mount,TO-263-6* D²Pak (5 Leads + Tab)* TO-263BA,DDPAK/TO-263-5
Step-Down,Positive,Buck,Fixed,1,4.5V,40V,5V,-,3A,150kHz,No,-40°C ~ 125°C (TJ),Surface Mount,TO-263-6* D²Pak (5 Leads + Tab)* TO-263BA,DDPAK/TO-263-5
Step-Down,Positive,Buck,Adjustable,1,4.5V,40V,1.2V,37V,3A,150kHz,No,-40°C ~ 125°C (TJ),Through Hole,TO-220-5 Formed Leads,TO-220-5
Step-Down,Positive,Buck,Fixed,1,4.5V,60V,5V,-,500mA,150kHz,No,-40°C ~ 125°C (TJ),Surface Mount,"8-SOIC (0.154""* 3.90mm Width)",8-SOIC
Step-Down,Positive,Buck,Fixed,1,4.5V,40V,5V,-,500mA,150kHz,No,-40°C ~ 125°C (TJ),Surface Mount,"8-SOIC (0.154""* 3.90mm Width)",8-SOIC
Step-Up/Step-Down,Negative,Cuk,Adjustable,1,2.7V,14V,-1.23V,-22V,900mA,1.4MHz,No,-40°C ~ 125°C (TJ),Surface Mount,SC-74A* SOT-753,SOT-23-5
Step-Up* Step-Up/Step-Down,Positive,Boost* SEPIC,Adjustable,1,1.2V,14V,1.24V,14V,2.85A (Switch),300kHz ~ 2MHz,No,-40°C ~ 85°C (TA),Surface Mount,"8-TSSOP* 8-MSOP (0.118""* 3.00mm Width)",8-VSSOP
Step-Down,Positive,Buck,Adjustable,2,3V,20V,0.6V,16V,2A,520kHz,No,-40°C ~ 125°C (TJ),Surface Mount,"16-TSSOP (0.173""* 4.40mm Width) Exposed Pad",16-HTSSOP
Ratiometric,Positive or Negative,Charge Pump,Fixed,1,1.8V,5.5V,-Vin* 2Vin,-,40mA,80kHz,No,-40°C ~ 85°C (TJ),Surface Mount,SOT-23-6,SOT-23-6
Ratiometric,Positive,Charge Pump,Fixed,1,2.5V,5.5V,2Vin* Vin/2,-,40mA,80kHz,No,-40°C ~ 85°C (TJ),Surface Mount,SOT-23-6,SOT-23-6
Step-Down,Positive,Buck,Adjustable,1,8V,40V,1.2V,37V,3A,260kHz,No,-40°C ~ 125°C (TJ),Surface Mount,TO-263-8* D²Pak (7 Leads + Tab)* TO-263CA,DDPAK/TO-263-7
Step-Down,Positive,Buck,Fixed,1,6.5V,40V,12V,-,500mA,260kHz,No,-40°C ~ 125°C (TJ),Surface Mount,"8-SOIC (0.154""* 3.90mm Width)",8-SOIC
